ZCTA5CE10,GEOID_ZIP,CLASSFP10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_NUM,AVG_ASTHMA,AVG_SMOKING,AVG_DIABETES,AVG_MHLTH,AVG_OBESITY,AVG_PHLTH
10065,10065,B5,G6350,984654,0,40.7646284,-73.9631438,10065,7.88,8.03,5.87,8.27,13.23,7.39
10069,10069,B5,G6350,249050,0,40.7759598,-73.990341,10069,8.22,10.4,7.14,9.8,15.38,8.8
10075,10075,B5,G6350,477137,0,40.773363,-73.9562218,10075,8.1,8.35,6.1875,8.6,13.85,7.9
10128,10128,B5,G6350,1206191,0,40.7814283,-73.9500104,10128,8.3786,9.9143,6.4357,9.8,14.95,8.2071
10280,10280,B5,G6350,297253,38409,40.7090731,-74.016423,10280,7.4,8.55,4.2,8.4,12.8,6.05
10282,10282,B5,G6350,177847,55133,40.7169009,-74.015119,10282,7.8,9.15,4.6,8.85,13.75,6.7
10301,10301,B5,G6350,9189255,12647,40.6275046,-74.0943767,10301,9.6524,17.6143,10.7571,12.9952,29.9429,12.2905
10302,10302,B5,G6350,3079121,0,40.6307157,-74.1377294,10302,9.6455,18.4636,10.5455,13.4727,30.7909,12.4273
10303,10303,B5,G6350,8141997,73294,40.6298846,-74.1741296,10303,10.2333,20.1417,11.425,14.6,32.9833,13.325
10304,10304,B5,G6350,9655859,19194,40.605965,-74.0935352,10304,9.6647,18.0647,11.4059,13.2,29.3471,13.0235
10305,10305,B5,G6350,10304611,44453,40.5965488,-74.0757794,10305,9.5294,18.4,10.3529,13.1235,28.0529,12.5118
10306,10306,B5,G6350,19359797,152157,40.5717679,-74.1259504,10306,9.2333,17.1208,9.925,12.1958,26.4125,12.0208
10307,10307,B5,G6350,4764130,18350,40.5088387,-74.240575,10307,9.375,17.725,7.9,12.5,26.65,10.925
10308,10308,B5,G6350,5097987,12014,40.551884,-74.1476456,10308,9.2556,16.7667,9.0444,11.9111,26.1667,11.5
10309,10309,B5,G6350,17239616,102043,40.5313464,-74.219857,10309,9.1556,17.5,7.8667,12.2889,26.4556,10.6333
10310,10310,B5,G6350,4651578,0,40.6326459,-74.1161482,10310,9.8071,18.3929,10.8786,13.5714,30.7357,12.8571
10312,10312,B5,G6350,19637318,359000,40.5444726,-74.1823669,10312,9.2,17.1158,8.7263,12.0684,26.2368,11.1789
10314,10314,B5,G6350,35432499,1687746,40.5992625,-74.165748,10314,9.1357,16.7964,9.9643,12.0393,26.5393,11.6679
10451,10451,B5,G6350,2665303,9963,40.8204537,-73.9250659,10451,11.6476,19.8095,15.1667,16.3762,34.5429,17.0714
10452,10452,B5,G6350,2559781,0,40.8373911,-73.9234379,10452,11.4619,20.5381,14.3429,17.1524,35.9,17.2857
10453,10453,B5,G6350,2372518,6524,40.8528201,-73.9123103,10453,11.413,20.4739,14.4174,17.2739,35.987,17.4174
10454,10454,B5,G6350,2714423,0,40.805492,-73.9166041,10454,11.5071,21.5286,15.1286,17.9929,36.8071,18.4357
10455,10455,B5,G6350,1846908,0,40.8147128,-73.9085897,10455,11.215,20.335,14.675,17.105,35.98,17.55
10456,10456,B5,G6350,2635671,0,40.8298858,-73.9081213,10456,11.8812,21.2219,14.9656,17.325,37.1,17.6969
10457,10457,B5,G6350,2743123,0,40.8471621,-73.8986628,10457,11.597,21.0061,14.2727,17.4121,36.3788,17.4667
10458,10458,B5,G6350,2603707,0,40.8625289,-73.8881594,10458,10.9444,19.7,12.5148,16.6519,33.2889,15.9333
10459,10459,B5,G6350,2124313,0,40.8258556,-73.8929413,10459,11.4522,20.4565,15.0174,17.2391,36.1826,17.8348
10460,10460,B5,G6350,3399050,0,40.8417362,-73.8795975,10460,11.4417,20.0917,14.1542,16.8042,35.2417,17.075
10461,10461,B5,G6350,6201816,0,40.8473944,-73.8405832,10461,10.0559,15.4559,11.0971,12.3971,26.8147,13.2294
10462,10462,B5,G6350,3818110,15353,40.8432666,-73.860417,10462,10.2306,16.9806,11.5444,13.8083,29.275,13.9806
10463,10463,B5,G6350,3755855,345779,40.8806784,-73.9065404,10463,9.5714,12.619,10.4095,11.219,24.9857,11.9619
