,COMMUNITY,cases,case_rate,deaths,death_rate,Date,Cases_1,Case_Rat_1,Deaths_1,Death_Ra_1,COVID19__2,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,PHLTH,MHLTH,DIABETES,CASTHMA,BPHIGH,CHD,OBESITY,MEDIAN_INCOME,avg_ppl_per_household
0,GRANADA HILLS,787,1352,56,96,2020-07-27,1136,1952,64,110,GRANADA HILLS,53162.96806549384,23616.54404522709,2400.574828267804,56.087716034967556,9172.76397262893,80.05599699070535,31.646694850973994,1341.0827344987306,16464.21207699463,34082.04812594142,13823.897924210776,4555.177906999442,17024.18756409959,12319.376818800167,4704.810745299421,4005.9788709263285,3342.95033642612,4621.426293750676,2704.585686796302,1510.0843987155904,26535.480686419796,26627.487379074024,37552.85517536488,1915.1718114474654,2120.5395715313452,7857.688898461354,7782.209280513411,2890.6199712973657,9859.913713180133,5126.711928933814,52816.69580269376,49708.58479904616,3108.111003647596,28642.64316768791,26866.303402164038,1776.3397655238732,11611.448257944276,4105.8451103866455,6509.486196196382,1877.816164570902,2761.707673065828,4406.447213065531,25196.2815413197,25489.859264161034,8129.332163660265,4791.959857276156,6006.739884500829,1751.9847108926735,281.22105289613984,6.375475037238594,6.441946691803942,5.447724226159957,5.221718803560738,16.08955143793222,3.052680609059407,12.942963868614195,59702.110752204666,1.8898319776774282
1,PORTER RANCH,221,621,6,17,2020-07-27,352,989,6,17,PORTER RANCH,33731.81344096225,15680.284696040375,1452.3605027501808,181.59697203988426,10815.492651744526,132.32132143401063,24.540585616466366,1023.3359551233814,4421.880756213425,20438.444362325914,10436.905064756209,2455.0133756984533,11370.026984924405,9155.594760279348,2214.4322246450593,2729.8777197886743,2638.490571510568,4019.431202048925,2166.8128612583178,911.0122032934906,16689.126615137167,17042.68682582508,24732.69609308158,734.5794293054573,876.202276454558,3515.5833479005123,3956.9288113632965,1677.0619853985588,8212.695517034745,5759.6447256244555,33711.785888432656,32277.207066085866,1434.5788223467916,17060.789488527585,16270.511409652445,790.27807887514,10086.625882940334,1370.3315443217873,3422.826825681571,579.8327389057592,810.8944178029935,2279.0335178882533,17022.5077664844,15106.49042155977,5700.7062419153535,3855.937938640271,4145.321771851662,1130.9738740549349,124.15323670316837,5.4274056770515084,5.232053587640937,5.130802754614952,4.695419654639441,15.633299540627691,2.843568289295145,10.707070224335334,71581.41541303378,1.6990229956659735
2,LAKEVIEW TERRACE,389,2962,18,137,2020-07-27,530,4036,23,175,LAKEVIEW TERRACE,13518.651196601237,2643.385762259653,1038.2750699503486,11.679886070437977,867.5342121463066,4.97686456471324,52.2538973505819,167.96383554721643,8732.581668711977,8321.197953588788,2602.950476430129,2321.864077550519,3512.861717134782,2361.4670947958775,1151.394622338904,810.2350744096448,783.0820945609925,986.6401093848779,552.6816449221899,246.9001449487747,6863.419510901211,6655.231685700025,9142.047375309263,1408.2169691486004,1231.201002482779,2495.2482135840182,1779.6696777097457,554.6507150376015,1242.1110971831736,430.9497001633456,13009.044297586966,11840.523110096176,1168.52118749079,6537.087663833675,6210.874313916093,326.21334991758226,1945.5798767830943,1078.5928226630433,1456.5494508324593,710.326278180103,1019.8258854573927,1224.3985995649848,4677.001413567695,8027.956290328994,3159.802762362383,813.7975638783623,1169.2309495807617,628.8330839117799,135.1283259000989,5.2238555922402625,5.356089969592741,4.3132007986347665,3.56551431270152,10.256247842906808,1.9351830058189117,10.639346044380245,24712.645808207795,1.324964597215777
3,MISSION HILLS,478,1981,17,70,2020-07-27,742,3076,33,137,MISSION HILLS,24681.805335887315,3810.2237503930787,421.49147958310226,50.94067079304598,2273.749751128889,183.21580843011085,147.20662505580356,229.65282701637202,17565.324423486916,14604.376928311398,5487.650358893299,4071.60367493427,6509.098118753451,4624.70953353669,1884.3885852167607,1558.3224947966337,1536.719299412766,1749.9914848265867,1483.0221354372034,490.28524535998736,12213.921193702014,12467.884142185298,16438.161707356492,2833.3712475262814,1428.4474956400752,4584.107523174155,3576.8835014275755,1219.0180726748972,2129.6344651376617,666.6994017758476,24515.6734819921,22529.0542371523,1986.6192448398,12004.904995244433,11098.754782147082,906.1502130973545,3285.5917753298854,2115.1114941442993,2593.557121609968,1593.4339240600873,1511.0604670028417,2406.3839304708067,7318.528680422588,15799.037254554849,5682.682095881763,1362.2631002642422,1964.4814947555756,1147.2023800743214,415.1367279015555,4.032565610481582,3.9512335803975986,3.4980435164057426,2.7719335015897775,8.557420679538643,1.7229673185960124,8.030981119555353,20592.690140518684,1.1115639622418523
4,ANGELES NATIONAL FOREST,2,5000,0,0,2020-07-27,2,5000,0,0,ANGELES NATIONAL FOREST,387.38049550827577,321.66556485843995,8.603681160065111,1.1737269273109066,25.63175044567732,0.0,0.05583081726238778,6.997451504424212,23.252489795095933,251.6895763037165,102.85249207666024,12.045426427092176,144.66983266864847,120.12507511780741,24.544757550841094,41.762347117459846,48.260262817713,42.643355689893575,19.57203713192646,4.584316500572458,186.44547235297003,200.93502315530574,309.19431446306726,14.903148266404793,8.937977293637347,86.78322112245016,73.55175729048644,31.046142905134246,56.20222900321115,37.76983858174311,385.9121034124985,359.6578555351,26.25424787739852,233.5727792953409,222.39102124614692,11.181758049193919,83.53734973002662,22.815963131983388,63.52962969199484,32.00798185393153,20.50009683821059,40.357542413483216,229.2657639928117,151.16698060423317,49.56225736693335,48.2607180183004,51.03518530452464,5.820269027250321,0.1089017414129884,0.2422914762613019,0.24473608176826747,0.1894781165864466,0.19775609978806635,0.5901856561917646,0.11273626713996485,0.47377464816489123,1424.8313741105953,0.042662909563517044
5,PACOIMA,2094,2720,29,38,2020-07-27,3310,4300,48,62,PACOIMA,73117.50879880041,2034.7348970392795,2863.8418645401925,99.11536669480255,1757.295910751814,8.029114703409228,246.2051268040307,189.54607906702037,65918.74043919986,39682.58179662721,13337.040791484984,19019.386985775058,15994.200576339083,8745.922978046327,7248.277598292753,3923.9380208663033,3154.088460916598,4190.572567068679,2044.7282298194311,625.574352945317,36665.41052426982,36452.09827453059,44969.35921015294,13847.851297208104,6681.488250254839,12885.16954426298,5905.319725845247,1987.395693878662,2935.9554594997785,726.1792392033241,73047.3312682523,61918.80104809847,11128.530220153823,35296.71176509096,32709.21972304106,2587.492042049896,4885.181466991887,8196.9773539429,7103.366923975565,5463.267302412842,7060.426675717866,6743.188649512223,9870.180387815844,58157.18843836936,26637.812870908216,2444.5657991967205,5383.732268118265,3757.540370177282,1735.976146478634,9.915267726900739,10.322276027600363,7.819693134065334,6.116703701128227,16.525218946859102,3.3030791965227335,19.613143201370168,33090.885487338885,2.7369581099887053
6,SUNLAND,315,1544,24,118,2020-07-27,431,2112,29,142,SUNLAND,18254.69353749177,10708.128082967809,236.76505127033982,57.20141502925085,1955.4034930120604,159.66454267615117,105.74590137445573,350.82340676975366,4680.961644391949,11592.027665656864,4800.977920892038,1541.3468170751637,6423.235654179583,4506.060526501765,1917.1751276778193,1555.8443336557398,1538.388785863422,2097.2164999053934,952.7811851789253,334.3513587105678,9079.203129557518,9175.490407934252,13809.448938140202,735.4929738552605,896.8496620448186,3405.70089632695,3494.50884467409,1223.3257409144403,2766.4340734190732,1287.136746905568,18103.54146256097,17001.035413151458,1102.50604940951,9603.768458413735,9125.79738547097,477.971072942766,4016.0328276390874,1272.2354101480578,2158.1199247777886,816.0031619964751,863.4060609095627,1495.1849614220828,9476.191321858525,7760.101043374274,2751.2235629284028,1927.3634022745778,1946.3567610578616,484.48214511834,122.41907843613366,5.768774628949775,5.792708227417146,4.445713255060492,4.29123613194451,12.978174989327119,2.657251767664943,11.126389004918288,38861.28093845911,1.3328931135536222
7,CHATSWORTH,457,1233,33,89,2020-07-27,641,1730,35,94,CHATSWORTH,40729.46355786741,18972.748495894568,1873.857141738393,76.44133828548298,6911.935700533966,113.24894211729877,310.54064327028703,1171.9194732630472,11298.771822764378,27319.148511815823,9747.347669753657,3253.870656160348,14033.837247245414,8812.435112835637,5221.402134409776,3339.06630310101,3045.0605762256796,4005.9794859703316,2157.40544068399,1124.7309125834568,20225.96491919771,20503.498638669706,29978.912542192204,1308.7369606972918,1342.8591826258391,6218.055182892553,6907.959828430781,2743.860089442341,7493.7755074575725,3963.66579064583,40284.12342975652,37891.654491659734,2392.468938096791,22540.262182456278,21258.953504835285,1281.308677620996,9734.196738943287,3229.8601548249853,5286.453238558921,1302.6623492479969,1705.7810232600903,2849.7499608279904,21784.10642477436,17035.676206651595,5839.641043874718,4498.193318853403,4548.683033380597,1153.8264171474514,66.22570094555861,5.843077338551629,5.7872476715336,4.926419494271608,4.690188082204294,14.756322150631405,2.8528446656102417,11.614422187516299,44247.65890401972,1.414166028158675
8,TUJUNGA,257,924,11,40,2020-07-27,474,1704,14,50,TUJUNGA,25375.879467854655,15896.675269321404,518.8258233455708,26.953998453997315,1831.947997647684,12.335457323849878,45.40110538428798,476.465655504855,6567.274160873005,14651.226354031718,7345.171448189026,2846.9329848471075,9384.760016335591,4933.2399164068065,4451.520099928785,2092.099001304441,2110.5642516831917,2225.5210981886144,1229.542981053376,424.03173379489215,12757.544245884072,12618.335221970585,18619.265048957986,1397.5710787616242,1260.385685875929,4959.1017290110585,4330.436378486847,1926.423087192731,3013.4447233853393,1731.9023662444552,25235.20821044078,22891.477766079966,2343.730444360811,13403.249830961797,12414.247244234057,989.0025867277378,4680.868446733996,2325.6541718265817,2973.1660559640122,1150.092210481268,1284.4663592281995,2438.446895372767,10598.983058690237,13705.041593377227,5793.10355532524,2638.636454138013,3156.3961360849,580.2014144257629,15.655754615621804,7.143957806788228,7.306755818637671,5.240040258840247,5.142094815675677,14.890192790203589,3.1069757492598864,13.333238110045185,33944.44794663683,1.4606442353782008
9,SHADOW HILLS,31,698,0,0,2020-07-27,60,1351,0,0,SHADOW HILLS,4095.260703347307,2691.5971920914017,14.052101194160558,8.352945782310774,312.01334940203077,0.0,11.72506215632442,102.38431618342891,955.1357365376499,2982.1897870019125,793.9083554612781,276.0302245582659,1377.1978772508182,1118.621094149732,258.57678310108645,313.37150529007414,292.80489459688874,459.92627009631167,233.52139109625801,159.95597114223503,2018.4480449198143,2076.812658427493,3048.664438844887,174.41290346670436,121.32996508458513,523.0634652750346,718.2227935932198,278.1977585972183,802.0805560548488,431.3569967732759,4091.5645013163908,3852.0077785611047,239.5567227552858,2171.3839277601587,2099.6967116180363,71.68721614212195,1039.0451640508904,258.53839633353556,524.2532764737628,111.30475438019596,166.55512037965136,485.8895845062482,2585.415515905784,1359.593140957834,319.32020801771,429.6889430604454,333.0775770222505,154.16156844026077,20.392191764296594,2.623586405162779,2.6117843205160627,2.103306242583335,2.0964984526450126,6.374306760674072,1.2607995488377064,5.4231998701179,20033.086376885363,0.7306173767615604
