OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,Unnamed: 0,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household,TractFIPS,PHLTH_CrudePrev,MHLTH_CrudePrev,DIABETES_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CHD_CrudePrev,OBESITY_CrudePrev,tracts_meters,COMMUNITY,cases,case_rate,deaths,death_rate,Date,Cases_1,Case_Rat_1,Deaths_1,Death_Ra_1,COVID19__2,intersect_meters,intersect_Shape_Leng,intersect_Shape_Area,intersect_Unnamed: 0,intersect_TOTAL_POP,intersect_NH_WHITE,intersect_NH_BLACK,intersect_NH_NATIVE,intersect_NH_ASIAN,intersect_NH_HAWAIIAN,intersect_NH_OTHER_RACE,intersect_NH_TWO_OR_MORE,intersect_NH_HISPANIC_LATINO,intersect_US_BORN,intersect_NATURALIZED,intersect_NON_CITIZEN,intersect_TOTAL_HOUSING,intersect_OWNER_OCCUPIED,intersect_RENTER_OCCUPIED,intersect_AGE_55_59,intersect_AGE_60_64,intersect_AGE_65_74,intersect_AGE_75_84,intersect_AGE_85+,intersect_MALE,intersect_FEMALE,intersect_ED_POP_25+,intersect_LESS_THAN_9TH,intersect_LESS_THAN_HS,intersect_HS_OR_GED,intersect_SOME_COLLEGE,intersect_ASSOCIATES,intersect_BACHELORS,intersect_GRAD_OR_PROFESSIONAL,intersect_HEALTH_COVERAGE_POP,intersect_INSURED,intersect_UNINSURED,intersect_MEDIAN_INCOME,intersect_LABOR_FORCE_POP_16+,intersect_EMPLOYED,intersect_UNEMPLOYED,intersect_BUSINESS,intersect_SERVICE,intersect_SALES_OFFICE,intersect_CONSTRUCTION_MAINTENANCE,intersect_PRODUCTION_TRANSPORTATION,intersect_LANGUAGE_POP_5+,intersect_ENGLISH_ONLY,intersect_OTHER_LANGUAGE,intersect_OTHER_LANGUAGE_POOR_ENGLISH,intersect_MEDIAN_INCOME_2,intersect_2_ppl_fam,intersect_3_to_4_ppl_fam,intersect_5_to_6_ppl_fam,intersect_GT_7_ppl_fam,intersect_avg_ppl_per_household,intersect_TractFIPS,intersect_PHLTH_CrudePrev,intersect_MHLTH_CrudePrev,intersect_DIABETES_CrudePrev,intersect_CASTHMA_CrudePrev,intersect_BPHIGH_CrudePrev,intersect_CHD_CrudePrev,intersect_OBESITY_CrudePrev
1,06,037,139301,06037139301,1393.01,Census Tract 1393.01,G5020,S,2865657.0,0.0,+34.1781538,-118.5581265,0.0839763041606,0.000280220763,1575.0,4590.0,2830.0,233.0,0.0,749.0,0.0,0.0,139.0,639.0,2954.0,1156.0,414.0,1568.0,1388.0,180.0,396.0,327.0,501.0,276.0,83.0,2338.0,2252.0,3333.0,100.0,167.0,490.0,897.0,298.0,881.0,500.0,4590.0,4365.0,225.0,105192.0,2719.0,2542.0,177.0,1269.0,327.0,535.0,229.0,182.0,384.0,2656.0,1732.0,715.0,105192.0,631.0,632.0,61.0,6.0,2.89,6037139301.0,10.7,10.6,8.2,8.9,27.6,5.6,21.2,2865647.4576521073,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,329.74688611479166,9.663060517246703e-06,3.224469352544437e-08,0.18123350946187697,0.5281662275746128,0.3256449725568964,0.02681105251086815,0.0,0.08618660227742593,0.0,0.0,0.015994576390603744,0.07352902383881865,0.3399135155240537,0.13301964250027287,0.04763852248712194,0.18042802719760195,0.1597156261162446,0.020712401081357367,0.045567282378986204,0.03762752863113255,0.057649516343111336,0.03175901499141463,0.009550718276403674,0.2690310762678529,0.25913515130675996,0.3835246266898006,0.011506889489642982,0.01921650544770378,0.05638375849925061,0.10321679872209755,0.03429053067913609,0.10137569640375467,0.05753444744821491,0.5281662275746128,0.5022757262229162,0.02589050135169671,12.104327191945245,0.3128723252233927,0.2925051308267246,0.02036719439666808,0.14602242762356943,0.03762752863113255,0.06156185876958995,0.02635077693128243,0.020942538871150225,0.04418645564022905,0.30562298484491757,0.19929932596061645,0.08227425985094731,12.104327191945245,0.07260847267964722,0.07272354157454364,0.007019202588682219,0.0006904133693785789,0.0003325491062506822,694686.9477018748,0.001231237175391799,0.001219730285902156,0.0009435649381507245,0.0010241131645782255,0.003175901499141463,0.000644385811420007,0.002439460571804312
74,06,037,113234,06037113234,1132.34,Census Tract 1132.34,G5020,S,1012996.0,9924.0,+34.2257746,-118.5939793,0.0495151040873,0.0001000832995,1504.0,4818.0,1283.0,246.0,28.0,842.0,0.0,62.0,47.0,2310.0,2526.0,848.0,1390.0,1525.0,756.0,769.0,301.0,242.0,398.0,247.0,120.0,2392.0,2426.0,3218.0,337.0,443.0,755.0,622.0,304.0,530.0,227.0,4818.0,4439.0,379.0,56375.0,2412.0,2340.0,72.0,782.0,531.0,458.0,230.0,339.0,441.0,1546.0,2917.0,1611.0,56375.0,370.0,504.0,192.0,10.0,3.1,6037113234.0,12.4,12.5,10.0,8.7,25.7,5.2,24.0,1022919.2501609576,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,35774.65116011704,0.0017316963930450163,3.5002226480757196e-06,52.599533478668754,168.500367220895,44.87047968958245,8.603381140792894,0.9792466339113864,29.44734520547812,0.0,2.1683318322323557,1.6437354212083986,80.78784729768938,88.34203561643436,29.657183769887702,48.612600754886685,53.3339684541023,26.439659115607434,26.894309338494864,10.526901314547404,8.46348876451984,13.919291439168992,8.63835423486116,4.196771288191656,83.65564101128702,84.84472620960798,112.5434167116729,11.785932701004901,15.493080672240863,26.40468602153917,21.753264510460085,10.631820596752195,18.535739856179813,7.938892353495882,168.500367220895,155.245564569023,13.25480265187198,1971.6081780983718,84.35510289265228,81.8370401197373,2.518062772914994,27.34895956138229,18.57071295024808,16.01767708326482,8.043811635700674,11.855878889141428,15.423134484104336,54.068403429535834,102.0165153971255,56.341654543972986,1971.6081780983718,12.940044805257607,17.626439410404956,6.71483406110665,0.349730940682638,0.10841659161161779,211136529.0334423,0.43366636644647116,0.4371636758532975,0.349730940682638,0.30426591839389505,0.8988085175543796,0.18186008915497176,0.8393542576383313
118,06,037,134901,06037134901,1349.01,Census Tract 1349.01,G5020,S,1053137.0,8888.0,+34.1873507,-118.5606591,0.0473148603817,0.000103862357499,1161.0,3119.0,1894.0,118.0,0.0,213.0,0.0,19.0,62.0,813.0,1915.0,797.0,327.0,1134.0,678.0,456.0,185.0,107.0,305.0,176.0,86.0,1367.0,1752.0,2270.0,209.0,73.0,407.0,339.0,267.0,612.0,363.0,3119.0,2953.0,166.0,68382.0,1604.0,1543.0,61.0,731.0,304.0,326.0,77.0,105.0,297.0,1499.0,1474.0,592.0,68382.0,349.0,340.0,98.0,0.0,2.75,6037134901.0,11.5,11.5,9.0,9.0,27.1,5.6,23.3,1062031.084064371,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,485.60120159094686,2.1634162501658752e-05,4.748983938263517e-08,0.530853572467487,1.4261260056210956,0.8660091871261157,0.053954109863189895,0.0,0.09739174068524956,0.0,0.008687526164411931,0.028348769589133672,0.3717346721929948,0.8756111897288869,0.36441886068612156,0.14951689767172113,0.5185081405496385,0.3100075126037521,0.20850062794588636,0.08458907054822144,0.048924489452214566,0.1394576568497705,0.08047392657560526,0.039322486849443485,0.6250446456184795,0.8010813600026161,1.0379307575376362,0.09556278780853125,0.033378390000109004,0.18609595520608718,0.15500375630187604,0.12208260452094663,0.2798297901379001,0.16597747356218587,1.4261260056210956,1.350224461237286,0.07590154438380951,31.266863903937722,0.7334101035640389,0.7055185721940848,0.0278915313699541,0.3342411382202696,0.1390004186305909,0.14905965945254157,0.0352073428768273,0.048010013013855414,0.13579975109633388,0.6854000905501835,0.6739691350706941,0.27068502575430864,31.266863903937722,0.1595761384936718,0.15546099452105563,0.04480934547959839,0.0,0.0012574051027438322,2760408.811080102,0.005258239520565117,0.005258239520565117,0.0041151439726161785,0.0041151439726161785,0.012391155739766494,0.0025605340274056218,0.010653650506884106
136,06,037,134710,06037134710,1347.10,Census Tract 1347.10,G5020,S,566354.0,4275.0,+34.2023735,-118.5779426,0.0298846815339,5.58168765001e-05,585.0,5547.0,844.0,137.0,2.0,780.0,37.0,0.0,99.0,3648.0,2710.0,718.0,2024.0,1635.0,386.0,1249.0,191.0,216.0,288.0,143.0,53.0,2873.0,2674.0,3714.0,649.0,500.0,1172.0,539.0,163.0,480.0,211.0,5547.0,3940.0,1607.0,43708.0,3060.0,2835.0,225.0,390.0,973.0,565.0,397.0,510.0,464.0,1280.0,3867.0,2395.0,43708.0,327.0,543.0,232.0,24.0,3.39,6037134710.0,14.2,15.6,10.4,9.1,24.2,4.7,28.1,570629.5582825328,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,570629.5582825328,0.0298846815339,5.58168765001e-05,585.0,5547.0,844.0,137.0,2.0,780.0,37.0,0.0,99.0,3648.0,2710.0,718.0,2024.0,1635.0,386.0,1249.0,191.0,216.0,288.0,143.0,53.0,2873.0,2674.0,3714.0,649.0,500.0,1172.0,539.0,163.0,480.0,211.0,5547.0,3940.0,1607.0,43708.0,3060.0,2835.0,225.0,390.0,973.0,565.0,397.0,510.0,464.0,1280.0,3867.0,2395.0,43708.0,327.0,543.0,232.0,24.0,3.39,6037134710.0,14.2,15.6,10.4,9.1,24.2,4.7,28.1
137,06,037,134800,06037134800,1348,Census Tract 1348,G5020,S,1859220.0,15191.0,+34.1955756,-118.5715500,0.0577762181313,0.0001833300995,1331.0,6473.0,2305.0,241.0,0.0,1196.0,6.0,0.0,80.0,2645.0,3461.0,1875.0,1039.0,1852.0,1358.0,494.0,375.0,475.0,557.0,178.0,49.0,3262.0,3211.0,4667.0,516.0,395.0,1130.0,794.0,415.0,1048.0,369.0,6473.0,5873.0,600.0,80109.0,3689.0,3500.0,189.0,1085.0,846.0,829.0,331.0,409.0,323.0,2511.0,3755.0,1658.0,80109.0,322.0,787.0,193.0,92.0,3.5,6037134800.0,11.7,12.2,9.2,8.9,24.8,4.8,23.2,1874410.216282044,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,1853415.1302680569,0.05712907234715272,0.00018127663693640492,1316.091598817656,6400.496558337105,2279.1819198157004,238.30058250567626,0.0,1182.603720650576,5.932794585203558,0.0,79.10392780271411,2615.373612977235,3422.2336765649193,1853.998307876112,1027.3622623377496,1831.2559286328317,1342.789174451072,488.4667541817596,370.7996615752224,469.679571328615,550.761097326397,176.0062393610389,48.45115577916239,3225.462656155668,3175.0339021814375,4614.725388190835,510.220334327506,390.5756435259009,1117.342980213337,785.1064834419375,410.35162547657944,1036.2614542155547,364.8668669900188,6400.496558337105,5807.217099816749,593.2794585203558,79211.70690434531,3647.6798708026545,3460.796841368742,186.88302943391207,1072.84702082431,836.5240365137017,819.7144518556249,327.2925012837296,404.4188308913759,319.3821085034582,2482.874533907689,3712.9406112398933,1639.4289037112499,79211.70690434531,318.3933094059243,778.1848897592,190.83822582404778,90.96951697312123,3.4607968413687424,5969513441.930661,11.568949441146938,12.063348989913901,9.096951697312122,8.800311968051945,24.522217618841374,4.746235668162846,22.94013906278709
471,06,037,133000,06037133000,1330,Census Tract 1330,G5020,S,997188.0,5043.0,+34.1960820,-118.5571125,0.0417595429975,9.80239520002e-05,1423.0,4449.0,1674.0,127.0,0.0,562.0,0.0,24.0,32.0,2030.0,2671.0,1218.0,505.0,1308.0,873.0,435.0,347.0,195.0,388.0,168.0,82.0,2259.0,2190.0,3236.0,492.0,232.0,738.0,722.0,392.0,516.0,144.0,4308.0,3821.0,487.0,67782.0,2448.0,2179.0,269.0,861.0,478.0,466.0,218.0,156.0,405.0,1656.0,2602.0,1237.0,67782.0,315.0,495.0,161.0,0.0,3.29,6037133000.0,12.2,12.4,9.8,8.7,25.3,5.0,24.3,1002231.2649755154,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,361.8048836601906,1.5075169897321381e-05,3.538658769561624e-08,0.5137021438470382,1.6060863232434808,0.6043129928320042,0.04584692359000271,0.0,0.20288166187072065,0.0,0.008663985560315472,0.011551980747087296,0.7328287786433504,0.9642293929834428,0.4396972671860102,0.18230469616497139,0.47218721303719324,0.3151524747564753,0.15703473828071793,0.12526679122622786,0.0703948826775632,0.14006776655843348,0.06064789892220831,0.029601950664411198,0.8154976408646938,0.7905886823787869,1.1681940530492028,0.1776117039864672,0.0837518604163829,0.2664175559797008,0.26064156560615714,0.14151176415181937,0.18627568954678264,0.051983913361892835,1.5551854080766272,1.3793787010818925,0.1758067069947348,24.469261218720973,0.8837265271521781,0.7866176889969756,0.09710883815520259,0.31082048197631756,0.17255771240961648,0.16822571962945876,0.07869786883953221,0.05631590614205057,0.1462047563303236,0.5978150036617675,0.9393204344975358,0.4465562557545933,24.469261218720973,0.11371481047914057,0.17869470218150663,0.05812090313378296,0.0,0.0011876880205599126,2179401.380737668,0.004404192659827032,0.004476392539496328,0.0035377941037954847,0.0031406947656143587,0.009133284778165895,0.0018049969917323901,0.008772285379819417
473,06,037,134103,06037134103,1341.03,Census Tract 1341.03,G5020,S,1040917.0,9622.0,+34.2185595,-118.5814401,0.0530983779696,0.0001027735435,896.0,4543.0,1500.0,225.0,4.0,725.0,62.0,0.0,32.0,1995.0,2716.0,1031.0,721.0,1293.0,779.0,514.0,329.0,229.0,281.0,311.0,123.0,2102.0,2441.0,3309.0,279.0,289.0,1042.0,721.0,265.0,427.0,286.0,4451.0,3865.0,586.0,76250.0,2418.0,2283.0,135.0,814.0,534.0,468.0,286.0,181.0,455.0,1618.0,2640.0,1171.0,76250.0,399.0,434.0,160.0,31.0,3.4,6037134103.0,12.1,12.0,9.9,8.7,26.8,5.4,22.8,1050536.7345738385,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,1050536.7345738385,0.0530983779696,0.0001027735435,896.0,4543.0,1500.0,225.0,4.0,725.0,62.0,0.0,32.0,1995.0,2716.0,1031.0,721.0,1293.0,779.0,514.0,329.0,229.0,281.0,311.0,123.0,2102.0,2441.0,3309.0,279.0,289.0,1042.0,721.0,265.0,427.0,286.0,4451.0,3865.0,586.0,76250.0,2418.0,2283.0,135.0,814.0,534.0,468.0,286.0,181.0,455.0,1618.0,2640.0,1171.0,76250.0,399.0,434.0,160.0,31.0,3.4,6037134103.0,12.1,12.0,9.9,8.7,26.8,5.4,22.8
474,06,037,134104,06037134104,1341.04,Census Tract 1341.04,G5020,S,647979.0,0.0,+34.2119534,-118.5753847,0.0319810540762,6.33884630001e-05,996.0,4635.0,1125.0,246.0,0.0,1408.0,0.0,23.0,87.0,1746.0,2413.0,1170.0,1011.0,1441.0,674.0,767.0,231.0,202.0,336.0,103.0,74.0,2399.0,2236.0,3147.0,417.0,130.0,762.0,754.0,77.0,720.0,287.0,4628.0,3894.0,734.0,57355.0,2582.0,2483.0,99.0,633.0,507.0,700.0,353.0,290.0,326.0,1348.0,3003.0,1549.0,57355.0,312.0,475.0,166.0,42.0,3.2,6037134104.0,10.3,11.6,8.7,8.2,22.4,3.8,21.3,647980.4684451757,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,647980.4684451757,0.0319810540762,6.33884630001e-05,996.0,4635.0,1125.0,246.0,0.0,1408.0,0.0,23.0,87.0,1746.0,2413.0,1170.0,1011.0,1441.0,674.0,767.0,231.0,202.0,336.0,103.0,74.0,2399.0,2236.0,3147.0,417.0,130.0,762.0,754.0,77.0,720.0,287.0,4628.0,3894.0,734.0,57355.0,2582.0,2483.0,99.0,633.0,507.0,700.0,353.0,290.0,326.0,1348.0,3003.0,1549.0,57355.0,312.0,475.0,166.0,42.0,3.2,6037134104.0,10.3,11.6,8.7,8.2,22.4,3.8,21.3
475,06,037,134201,06037134201,1342.01,Census Tract 1342.01,G5020,S,1459395.0,7345.0,+34.2139885,-118.5912335,0.0499287536446,0.000143486046,1226.0,4542.0,1327.0,117.0,0.0,671.0,0.0,28.0,98.0,2301.0,2781.0,757.0,963.0,1211.0,888.0,323.0,339.0,331.0,274.0,186.0,77.0,2184.0,2358.0,3123.0,555.0,244.0,692.0,604.0,304.0,515.0,209.0,4542.0,4121.0,421.0,90528.0,2456.0,2344.0,112.0,740.0,385.0,506.0,302.0,411.0,394.0,1872.0,2340.0,1070.0,90528.0,343.0,380.0,169.0,70.0,3.73,6037134201.0,11.3,11.8,9.0,8.5,24.0,4.5,22.8,1466739.2942120892,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,383017.77146273106,0.013038172515272605,3.746930745756108e-05,320.1521835995807,1186.0776655051352,346.526874091879,30.552859283157378,0.0,175.2219536666547,0.0,7.311795384003475,25.591283844012164,600.8728992354285,726.2179629612023,197.67961091752252,251.4735340998338,316.2351503581503,231.88836789268166,84.34678246546866,88.5249512563278,86.43586686089823,71.55114054346258,48.571212193737374,20.107437306009558,570.320039952271,615.757625552864,815.5263208658162,144.93022993292604,63.71707406060171,180.70580020465732,157.7258718549321,79.38520702632344,134.4848079557782,54.57732983059737,1186.0776655051352,1076.1395991956545,109.93806630948083,23640.07901868095,641.3489093968763,612.1017278608624,29.2471815360139,193.2403065772347,100.53718653004779,132.13458801091994,78.86293592746605,107.32671081519386,102.88740647490604,488.84574853051805,611.0571856631476,279.41503788870426,23640.07901868095,89.56949345404257,99.23150878290431,44.13190785344955,18.27948846000869,0.9740355993690344,1576510356.552904,2.9508317085442597,3.0813994832586076,2.35021994485826,2.2196521701439123,6.267253186288693,1.17510997242913,5.953890526974258
533,06,037,134905,06037134905,1349.05,Census Tract 1349.05,G5020,S,2586737.0,0.0,+34.1833588,-118.5842954,0.0692991360564,0.000252962107,2252.0,4354.0,2455.0,552.0,0.0,625.0,0.0,0.0,247.0,475.0,2604.0,1021.0,581.0,2293.0,307.0,1986.0,294.0,296.0,296.0,116.0,32.0,1969.0,2385.0,3578.0,30.0,19.0,444.0,674.0,401.0,1257.0,753.0,4354.0,4034.0,320.0,79985.0,3244.0,3006.0,238.0,1576.0,331.0,863.0,39.0,197.0,354.0,2418.0,1792.0,584.0,79985.0,609.0,311.0,28.0,0.0,1.89,6037134905.0,7.9,10.8,5.3,8.7,19.0,3.1,20.4,2586733.8404601854,WINNETKA,813,1570,11,21,2020-07-27,1188,2294,18,35,WINNETKA,4.275156095326107,1.1453231843120184e-07,4.1807644710566435e-10,0.0037219335735607082,0.007195958605365597,0.0040574364667369175,0.0009123034336614169,0.0,0.001032952257315916,0.0,0.0,0.00040822273209124995,0.0007850437155600961,0.004303692284881032,0.0016874308075512801,0.0009602324184008755,0.003789695241640632,0.0005073861487935779,0.0032823090928470544,0.0004859007418414068,0.0004892061890648178,0.0004892061890648178,0.000191715938957834,5.2887155574574894e-05,0.0032542127914480614,0.003941745813917535,0.005913445082682155,4.9581708351163965e-05,3.140174862240384e-05,0.0007338092835972266,0.0011139357142894836,0.0006627421682938916,0.00207747357991377,0.0012445008796142154,0.007195958605365597,0.006667087049619848,0.0005288715557457489,0.13219309808226165,0.00536143539637253,0.004968087176786629,0.00039334821958590075,0.0026046924120478134,0.0005470515154745091,0.0014263004769018166,6.445622085651315e-05,0.0003255865515059767,0.0005850641585437347,0.003996285693103815,0.0029616807121761943,0.0009651905892359918,0.13219309808226165,0.0010065086795286284,0.0005139970432403997,4.6276261127753036e-05,0.0,3.1236476261233295e-06,9977.715404544731,1.3056516532473178e-05,1.784941500641903e-05,8.759435142038967e-06,1.4378695421837547e-05,3.140174862240384e-05,5.123443196286943e-06,3.3715561678791495e-05
