,TOTAL_POP,NH_WHITE,NH_BLACK,NH_NATIVE,NH_ASIAN,NH_HAWAIIAN,NH_OTHER_RACE,NH_TWO_OR_MORE,NH_HISPANIC_LATINO,US_BORN,NATURALIZED,NON_CITIZEN,ZCTA,TOTAL_HOUSING,OWNER_OCCUPIED,RENTER_OCCUPIED,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85+,MALE,FEMALE,ED_POP_25+,LESS_THAN_9TH,LESS_THAN_HS,HS_OR_GED,SOME_COLLEGE,ASSOCIATES,BACHELORS,GRAD_OR_PROFESSIONAL,HEALTH_COVERAGE_POP,INSURED,UNINSURED,MEDIAN_INCOME,LABOR_FORCE_POP_16+,EMPLOYED,UNEMPLOYED,BUSINESS,SERVICE,SALES_OFFICE,CONSTRUCTION_MAINTENANCE,PRODUCTION_TRANSPORTATION,LANGUAGE_POP_5+,ENGLISH_ONLY,OTHER_LANGUAGE,OTHER_LANGUAGE_POOR_ENGLISH,MEDIAN_INCOME_2,2_ppl_fam,3_to_4_ppl_fam,5_to_6_ppl_fam,GT_7_ppl_fam,avg_ppl_per_household
0,36492,26794,1345,88,1819,6,195,1048,5197,25947,5009,4375,11222,17256,3091,14165,1926,1602,2155,1118,515,18000,18492,30177,1327,1360,4608,3872,1282,11797,5931,36492,33313,3179,85111,24761,23566,1195,14540,3084,3707,1195,1040,1144,22761,11949,4895,85111,3788,2635,454,60,2.1
1,76819,5320,56546,61,1258,0,86,1272,12276,56583,11243,7394,11233,29345,6657,22688,3879,3800,4841,2717,908,35096,41723,49821,4214,5967,15972,7355,3803,8449,4061,76640,70028,6612,40449,35722,33503,2219,11760,9813,6702,1844,3384,1901,56493,14124,4592,40449,7353,7824,1927,425,2.57
2,78128,56160,1812,184,11260,0,329,1892,6491,27074,34442,15175,11235,32269,12770,19499,5295,5325,8981,5993,3389,37432,40696,59442,4344,3216,13140,5818,4521,16573,11830,77407,70320,7087,52538,37785,35557,2228,14862,7810,6404,2676,3805,1719,18673,54934,37139,52538,9033,8432,2023,307,2.38
3,20801,5834,1278,11,9179,0,84,477,3938,11700,6087,2684,11426,6356,4832,1524,1565,1325,2256,560,387,10388,10413,14569,616,972,4391,2070,1019,3192,2309,20753,19535,1218,88803,10966,10485,481,4152,1765,2313,752,1503,935,8309,10879,4261,88803,1500,2243,779,253,3.26
4,24037,4762,4737,121,7481,0,1116,1144,4676,11917,8508,2773,11427,7500,4499,3001,1859,1899,2147,1109,637,11886,12151,17320,1206,1440,4651,3045,1407,3395,2176,23427,21796,1631,74581,11836,11220,616,4368,2049,2590,779,1434,897,10269,11761,5064,74581,1955,2550,1033,88,3.08
5,522,295,153,0,29,0,0,8,37,359,127,15,11042,0,0,0,0,0,59,187,276,232,290,522,69,92,210,30,16,30,75,0,0,0,-666666666,0,0,0,0,0,0,0,0,151,419,103,51,-666666666,0,0,0,0,-666666666.0
6,30043,9746,4350,0,6773,41,316,909,7908,18513,5366,5382,11101,13169,2230,10939,1374,1492,1470,792,243,15297,14746,22131,1484,1314,5325,2252,1129,6342,4285,29689,27959,1730,65392,17739,16416,1323,8458,3030,3150,548,1230,1315,15114,12904,6109,65392,3657,2572,482,60,2.24
7,46064,19470,13586,127,3138,8,448,1134,8153,35450,4105,4982,11205,16294,3925,12369,1869,1845,2247,891,300,21340,24724,27491,1998,2698,5523,3676,1195,7130,5271,45890,43206,2684,56708,23338,21369,1969,10380,3934,4488,666,1901,1281,24607,17154,6838,56708,3051,3295,1201,734,2.67
8,70156,46961,2636,53,5531,0,563,2984,11428,55108,5952,6107,11215,28635,11611,17024,3396,2913,4427,2141,723,33597,36559,52178,1776,1689,4313,3503,1528,18903,20466,70040,67480,2560,123583,43071,41371,1700,30821,3181,5241,757,1371,1442,49118,15320,3889,123583,6772,8554,1067,45,2.43
9,90036,55723,815,101,22002,0,83,399,10913,56119,15631,15275,11219,24430,6687,17743,3813,3948,5879,2688,2060,44986,45050,49091,8243,8437,16046,4960,1982,5918,3505,89553,83442,6111,39295,35258,33221,2037,9872,7921,9396,2294,3738,2362,16721,61711,32515,39295,5489,6903,3780,2920,3.64
